English|Deutsch|Français|Español|Italiano
One use until the next boss.|Ein Einsatz bis zum nächsten Boss.|Une utilisation jusqu’au prochain boss.|Un uso hasta el siguiente jefe.|Un utilizzo fino al prossimo boss.
Health and energy carry between waves.|Leben und Energie bleiben zwischen Wellen erhalten.|La vie et l’énergie sont conservées entre les vagues.|La salud y la energía se conservan entre oleadas.|Salute ed energia si mantengono tra le ondate.
CONTINUE — WAVE %d|WEITER — WELLE %d|CONTINUER — VAGUE %d|CONTINUAR — OLEADA %d|CONTINUA — ONDATA %d
RUN COMPLETE|LAUF BEENDET|PARCOURS TERMINÉ|PARTIDA TERMINADA|PARTITA TERMINATA
Reached wave %d|Welle %d erreicht|Vague %d atteinte|Oleada %d alcanzada|Raggiunta ondata %d
Score: %d|Punkte: %d|Score : %d|Puntos: %d|Punti: %d
%d words  •  %.0f seconds|%d Wörter  •  %.0f Sekunden|%d mots  •  %.0f secondes|%d palabras  •  %.0f segundos|%d parole  •  %.0f secondi
TRY AGAIN|ERNEUT VERSUCHEN|RÉESSAYER|REINTENTAR|RIPROVA
Try another loadout and beat your record.|Probiere andere Ausrüstung und schlage deinen Rekord.|Changez d’équipement et battez votre record.|Prueba otro equipo y supera tu récord.|Prova un altro equipaggiamento e supera il record.
SCORE|PUNKTE|SCORE|PUNTOS|PUNTI
GLOBAL TOP|WELTRANGLISTE|CLASSEMENT MONDIAL|CLASIFICACIÓN GLOBAL|CLASSIFICA GLOBALE
ENEMIES DEFEATED|BESIEGTE GEGNER|ENNEMIS VAINCUS|ENEMIGOS DERROTADOS|NEMICI SCONFITTI
WORDS|WÖRTER|MOTS|PALABRAS|PAROLE
TIME|ZEIT|TEMPS|TIEMPO|TEMPO
PERSONAL BEST|PERSÖNLICHER REKORD|RECORD PERSONNEL|RÉCORD PERSONAL|RECORD PERSONALE
HALL OF CHAMPIONS|HALLE DER CHAMPIONS|SALLE DES CHAMPIONS|SALÓN DE CAMPEONES|SALA DEI CAMPIONI
GLOBAL RANKING|WELTRANGLISTE|CLASSEMENT MONDIAL|CLASIFICACIÓN GLOBAL|CLASSIFICA GLOBALE
YOUR NAME|DEIN NAME|VOTRE NOM|TU NOMBRE|IL TUO NOME
SEND RESULT|ERGEBNIS SENDEN|ENVOYER LE SCORE|ENVIAR RESULTADO|INVIA RISULTATO
SEND|SENDEN|ENVOYER|ENVIAR|INVIA
SENDING…|SENDET…|ENVOI…|ENVIANDO…|INVIO…
SENT ✓|GESENDET ✓|ENVOYÉ ✓|ENVIADO ✓|INVIATO ✓
Check your name, then press SEND.|Prüfe deinen Namen und tippe auf SENDEN.|Vérifiez votre nom, puis appuyez sur ENVOYER.|Revisa tu nombre y pulsa ENVIAR.|Controlla il nome, poi premi INVIA.
Enter your nickname to send the result|Gib deinen Namen ein, um das Ergebnis zu senden|Saisissez votre pseudo pour envoyer le score|Introduce tu apodo para enviar el resultado|Inserisci il soprannome per inviare il risultato
Sending result…|Ergebnis wird gesendet…|Envoi du score…|Enviando resultado…|Invio del risultato…
Saved on device. Retry when online.|Auf dem Gerät gespeichert. Versuche es mit Internet erneut.|Enregistré sur l’appareil. Réessayez en ligne.|Guardado en el dispositivo. Reintenta con conexión.|Salvato sul dispositivo. Riprova quando sei online.
Result sent|Ergebnis gesendet|Score envoyé|Resultado enviado|Risultato inviato
Saving name…|Name wird gespeichert…|Enregistrement du nom…|Guardando nombre…|Salvataggio nome…
Name saved|Name gespeichert|Nom enregistré|Nombre guardado|Nome salvato
Loading ranking…|Rangliste wird geladen…|Chargement du classement…|Cargando clasificación…|Caricamento classifica…
No results yet. Be the first!|Noch keine Ergebnisse. Sei der Erste!|Aucun score. Soyez le premier !|Sin resultados. ¡Sé el primero!|Nessun risultato. Sii il primo!
TOP 10 · ALL RUNS|TOP 10 · ALLE LÄUFE|TOP 10 · TOUS LES PARCOURS|TOP 10 · TODAS LAS PARTIDAS|TOP 10 · TUTTE LE PARTITE
TODAY · |HEUTE · |AUJOURD’HUI · |HOY · |OGGI · 
CLOSE|SCHLIESSEN|FERMER|CERRAR|CHIUDI
MENU|MENÜ|MENU|MENÚ|MENU
CONTINUE|WEITER|CONTINUER|CONTINUAR|CONTINUA
RESUME|FORTSETZEN|REPRENDRE|REANUDAR|RIPRENDI
MAP|KARTE|CARTE|MAPA|MAPPA
NEXT >|WEITER >|SUIVANT >|SIGUIENTE >|AVANTI >
RETRY|WIEDERHOLEN|RÉESSAYER|REINTENTAR|RIPROVA
CANCEL|ABBRECHEN|ANNULER|CANCELAR|ANNULLA
START|STARTEN|COMMENCER|EMPEZAR|INIZIA
QUIT|BEENDEN|QUITTER|SALIR|ESCI
GOT IT|VERSTANDEN|COMPRIS|ENTENDIDO|CAPITO
YOU|DU|VOUS|TÚ|TU
READY|BEREIT|PRÊT|LISTO|PRONTO
HEAL|HEILUNG|SOIN|CURACIÓN|CURA
HEAVY HIT|SCHWERER SCHLAG|COUP PUISSANT|GOLPE FUERTE|COLPO POTENTE
ATTACK|ANGRIFF|ATTAQUE|ATAQUE|ATTACCO
%s IN %ds|%s IN %ds|%s DANS %ds|%s EN %ds|%s TRA %ds
ARMOR • 6 TILES|RÜSTUNG • 6 FELDER|ARMURE • 6 CASES|ARMADURA • 6 FICHAS|ARMATURA • 6 TESSERE
TOTAL DAMAGE|GESAMTSCHADEN|DÉGÂTS TOTAUX|DAÑO TOTAL|DANNI TOTALI
BASE DAMAGE|GRUNDSCHADEN|DÉGÂTS DE BASE|DAÑO BASE|DANNI BASE
%d ENERGY • DAMAGE %d–%d|%d ENERGIE • SCHADEN %d–%d|%d ÉNERGIE • DÉGÂTS %d–%d|%d ENERGÍA • DAÑO %d–%d|%d ENERGIA • DANNI %d–%d
SHIELD ×%d|SCHILD ×%d|BOUCLIER ×%d|ESCUDO ×%d|SCUDO ×%d
PULSE|IMPULS|IMPULSION|PULSO|IMPULSO
BREACH|DURCHBRUCH|BRÈCHE|BRECHA|BRECCIA
EMBER|GLUT|BRAISE|BRASA|BRACE
RESONATOR|RESONATOR|RÉSONATEUR|RESONADOR|RISONATORE
AEGIS|SCHILD|ÉGIDE|ÉGIDA|EGIDA
MIRROR|SPIEGEL|MIROIR|ESPEJO|SPECCHIO
BASTION|BASTION|BASTION|BASTIÓN|BASTIONE
ARC|BOGEN|ARC|ARCO|ARCO
SEAL|SIEGEL|SCEAU|SELLO|SIGILLO
MEND|HEILUNG|SOIN|SANACIÓN|CURA
BLOOM|BLÜTE|FLORAISON|RENOVACIÓN|RINASCITA
SIPHON|ENTZUG|DRAIN|DRENAJE|DRENAGGIO
LEXICON SEAL|LEXIKONSIEGEL|SCEAU DU LEXIQUE|SELLO DEL LÉXICO|SIGILLO DEL LESSICO
RESERVE CELL|RESERVEZELLE|CELLULE DE RÉSERVE|CELDA DE RESERVA|CELLA DI RISERVA
STRIKE|ANGRIFF|FRAPPE|GOLPE|COLPO
GUARD|SCHUTZ|GARDE|DEFENSA|DIFESA
CONTROL|KONTROLLE|CONTRÔLE|CONTROL|CONTROLLO
RESTORE|HEILUNG|RESTAURATION|RESTAURACIÓN|RIPRISTINO
ARTIFACTS|ARTEFAKTE|ARTEFACTS|ARTEFACTOS|ARTEFATTI
YOUR LOADOUT|DEINE AUSRÜSTUNG|VOTRE ÉQUIPEMENT|TU EQUIPO|IL TUO EQUIPAGGIAMENTO
AVAILABLE|VERFÜGBAR|DISPONIBLE|DISPONIBLE|DISPONIBILE
EQUIP|AUSRÜSTEN|ÉQUIPER|EQUIPAR|EQUIPAGGIA
EQUIPPED|AUSGERÜSTET|ÉQUIPÉ|EQUIPADO|EQUIPAGGIATO
LOCKED|GESPERRT|VERROUILLÉ|BLOQUEADO|BLOCCATO
LOCK|GESPERRT|VERROUILLÉ|BLOQUEADO|BLOCCATO
REMOVE ARTIFACT|ARTEFAKT ABLEGEN|RETIRER L’ARTEFACT|QUITAR ARTEFACTO|RIMUOVI ARTEFATTO
PASSIVE • NO ENERGY|PASSIV • KEINE ENERGIE|PASSIF • SANS ÉNERGIE|PASIVO • SIN ENERGÍA|PASSIVO • SENZA ENERGIA
%d ENERGY • %s %d|%d ENERGIE • %s %d|%d ÉNERGIE • %s %d|%d ENERGÍA • %s %d|%d ENERGIA • %s %d
Win with a word of 7+ tiles|Gewinne mit einem Wort aus mindestens 7 Feldern|Gagnez avec un mot d’au moins 7 cases|Gana con una palabra de 7 fichas o más|Vinci con una parola di almeno 7 tessere
Win encounter %d to unlock|Gewinne Begegnung %d zum Freischalten|Gagnez le combat %d pour débloquer|Gana el encuentro %d para desbloquear|Vinci lo scontro %d per sbloccare
New selections apply to your next duel|Neue Auswahl gilt für das nächste Duell|Les choix s’appliquent au prochain duel|Los cambios se aplican al próximo duelo|Le scelte valgono per il prossimo duello
LEVEL %d • SHARED BY COLOR|STUFE %d • PRO FARBE GETEILT|NIVEAU %d • PARTAGÉ PAR COULEUR|NIVEL %d • COMPARTIDO POR COLOR|LIVELLO %d • CONDIVISO PER COLORE
Variants share upgrades|Varianten teilen Verbesserungen|Les variantes partagent les améliorations|Las variantes comparten mejoras|Le varianti condividono i miglioramenti
LEVEL %d|STUFE %d|NIVEAU %d|NIVEL %d|LIVELLO %d
LEVEL %d  >  %d|STUFE %d  >  %d|NIVEAU %d  >  %d|NIVEL %d  >  %d|LIVELLO %d  >  %d
DAMAGE|SCHADEN|DÉGÂTS|DAÑO|DANNI
PROTECTION|SCHUTZ|PROTECTION|PROTECCIÓN|PROTEZIONE
HEALING|HEILUNG|SOINS|CURACIÓN|CURA
CHARGE   %d ENERGY|LADUNG   %d ENERGIE|CHARGE   %d ÉNERGIE|CARGA   %d ENERGÍA|CARICA   %d ENERGIA
MAX LEVEL|HÖCHSTE STUFE|NIVEAU MAXIMUM|NIVEL MÁXIMO|LIVELLO MASSIMO
UPGRADE  ◈ %d|VERBESSERN  ◈ %d|AMÉLIORER  ◈ %d|MEJORAR  ◈ %d|MIGLIORA  ◈ %d
Fully upgraded|Vollständig verbessert|Amélioration maximale|Mejora máxima|Miglioramento massimo
Earn coins in campaign|Verdiene Münzen in der Kampagne|Gagnez des pièces en campagne|Gana monedas en la campaña|Guadagna monete nella campagna
Balance after: %d|Danach übrig: %d|Solde restant : %d|Saldo restante: %d|Saldo residuo: %d
POWER-UPS|BONI|BONUS|POTENCIADORES|POTENZIAMENTI
UPGRADE >|VERBESSERN >|AMÉLIORER >|MEJORAR >|MIGLIORA >
CHOOSE ONE FOR BATTLE|EINEN FÜR DEN KAMPF WÄHLEN|CHOISISSEZ UN BONUS|ELIGE UNO PARA LA BATALLA|SCEGLINE UNO PER LA BATTAGLIA
TIME FREEZE|ZEITSTOPP|ARRÊT DU TEMPS|TIEMPO CONGELADO|BLOCCO TEMPORALE
FRESH BOARD|NEUES FELD|NOUVELLE GRILLE|TABLERO NUEVO|NUOVO TABELLONE
OVERCHARGE|ÜBERLADUNG|SURCHARGE|SOBRECARGA|SOVRACCARICA
Stop the enemy for 8s|Stoppt den Gegner für 8s|Arrête l’ennemi pendant 8s|Detiene al enemigo durante 8s|Ferma il nemico per 8s
A new field of letters|Ein neues Buchstabenfeld|Une nouvelle grille de lettres|Un tablero de letras nuevo|Un nuovo tabellone di lettere
Double your next word|Verdoppelt dein nächstes Wort|Double votre prochain mot|Duplica tu siguiente palabra|Raddoppia la prossima parola
TAP TO EQUIP|ZUM AUSRÜSTEN TIPPEN|TOUCHEZ POUR ÉQUIPER|TOCA PARA EQUIPAR|TOCCA PER EQUIPAGGIARE
ONE FREE USE PER DUEL|EINMAL GRATIS PRO DUELL|UN USAGE GRATUIT PAR DUEL|UN USO GRATIS POR DUELO|UN USO GRATIS PER DUELLO
BATTLE >|ZUM KAMPF >|COMBATTRE >|A LUCHAR >|COMBATTI >
VICTORY|SIEG|VICTOIRE|VICTORIA|VITTORIA
DEFEATED|BESIEGT|DÉFAITE|DERROTA|SCONFITTA
RISE AGAIN|ERNEUT ANTRETEN|RELEVEZ-VOUS|INTÉNTALO DE NUEVO|RIALZATI
LEVEL %d COMPLETE|STUFE %d GESCHAFFT|NIVEAU %d TERMINÉ|NIVEL %d COMPLETADO|LIVELLO %d COMPLETATO
CONGRATULATIONS!|GLÜCKWUNSCH!|FÉLICITATIONS !|¡FELICIDADES!|CONGRATULAZIONI!
You have unlocked|Freigeschaltet|Vous avez débloqué|Has desbloqueado|Hai sbloccato
NEW EQUIPMENT|NEUE AUSRÜSTUNG|NOUVEL ÉQUIPEMENT|EQUIPO NUEVO|NUOVO EQUIPAGGIAMENTO
Choose it in the Arsenal before your next duel.|Wähle es vor dem nächsten Duell im Arsenal.|Équipez-le dans l’arsenal avant le prochain duel.|Equípalo en el arsenal antes del próximo duelo.|Sceglilo nell’arsenale prima del prossimo duello.
%d more to reveal|Noch %d zu entdecken|Encore %d à découvrir|Faltan %d por descubrir|Ancora %d da scoprire
Victory reward: %s|Siegesbelohnung: %s|Récompense : %s|Recompensa: %s|Ricompensa: %s
Unlocked: %s|Freigeschaltet: %s|Débloqué : %s|Desbloqueado: %s|Sbloccato: %s
NEW EQUIPMENT: %s|NEUE AUSRÜSTUNG: %s|NOUVEL ÉQUIPEMENT : %s|EQUIPO NUEVO: %s|NUOVO EQUIPAGGIAMENTO: %s
DEFEATED BY %s|BESIEGT VON %s|VAINCU PAR %s|DERROTADO POR %s|SCONFITTO DA %s
Enemy health remaining: %d / %d|Verbleibendes Gegnerleben: %d / %d|Vie ennemie restante : %d / %d|Salud enemiga restante: %d / %d|Salute nemica rimasta: %d / %d
%.0f seconds|%.0f Sekunden|%.0f secondes|%.0f segundos|%.0f secondi
WORDS FOUND|GEFUNDENE WÖRTER|MOTS TROUVÉS|PALABRAS ENCONTRADAS|PAROLE TROVATE
TIME IN BATTLE|KAMPFDAUER|TEMPS DE COMBAT|TIEMPO EN BATALLA|TEMPO IN BATTAGLIA
COINS KEPT|BEHALTENE MÜNZEN|PIÈCES CONSERVÉES|MONEDAS CONSERVADAS|MONETE CONSERVATE
FOR YOUR NEXT ATTEMPT|FÜR DEN NÄCHSTEN VERSUCH|POUR VOTRE PROCHAIN ESSAI|PARA TU PRÓXIMO INTENTO|PER IL PROSSIMO TENTATIVO
CAMPAIGN COMPLETE|KAMPAGNE ABGESCHLOSSEN|CAMPAGNE TERMINÉE|CAMPAÑA COMPLETADA|CAMPAGNA COMPLETATA
PAUSED|PAUSE|PAUSE|PAUSA|PAUSA
Your duel is safely paused.|Dein Duell ist pausiert.|Votre duel est en pause.|Tu duelo está en pausa.|Il duello è in pausa.
Progress is saved on this device.|Fortschritt wird auf diesem Gerät gespeichert.|La progression est sauvegardée sur cet appareil.|El progreso se guarda en este dispositivo.|I progressi sono salvati su questo dispositivo.
SOUND|TON|SON|SONIDO|AUDIO
ON|AN|OUI|SÍ|SÌ
OFF|AUS|NON|NO|NO
FREE|FREI|LIBRE|LIBRE|LIBERO
HOW TO PLAY|SPIELANLEITUNG|COMMENT JOUER|CÓMO JUGAR|COME GIOCARE
WORD JOURNAL|WORTTAGEBUCH|JOURNAL DES MOTS|DIARIO DE PALABRAS|DIARIO DELLE PAROLE
PAGE %d|SEITE %d|PAGE %d|PÁGINA %d|PAGINA %d
Use at least three letters|Verbinde mindestens drei Buchstaben|Reliez au moins trois lettres|Une al menos tres letras|Collega almeno tre lettere
Not in the selected dictionary|Nicht im gewählten Wörterbuch|Absent du dictionnaire choisi|No está en el diccionario elegido|Non presente nel dizionario scelto
Already found — try a different word|Bereits gefunden — versuche ein anderes Wort|Déjà trouvé — essayez un autre mot|Ya encontrada — prueba otra palabra|Già trovata — prova un’altra parola
★ Joker replaces one letter. The word resolves automatically.|★ Joker ersetzt einen Buchstaben. Das Wort wird automatisch erkannt.|★ Le joker remplace une lettre. Le mot est reconnu automatiquement.|★ El comodín sustituye una letra. La palabra se reconoce automáticamente.|★ Il jolly sostituisce una lettera. La parola viene riconosciuta automaticamente.
HINT: %s|TIPP: %s|INDICE : %s|PISTA: %s|INDIZIO: %s
Loading…|Lädt…|Chargement…|Cargando…|Caricamento…
Preparing…|Wird vorbereitet…|Préparation…|Preparando…|Preparazione…
PRACTICE|ÜBUNG|ENTRAÎNEMENT|PRÁCTICA|ALLENAMENTO
PLAY RANKED|RANGLISTE SPIELEN|JOUER CLASSÉ|JUGAR CLASIFICATORIA|GIOCA IN CLASSIFICA
REFRESH|AKTUALISIEREN|ACTUALISER|ACTUALIZAR|AGGIORNA
CLEAR|LÖSCHEN|EFFACER|BORRAR|CANCELLA
SUBMIT|BESTÄTIGEN|VALIDER|CONFIRMAR|CONFERMA
LEADERBOARD|RANGLISTE|CLASSEMENT|CLASIFICACIÓN|CLASSIFICA
RETRY UPLOAD|ERNEUT SENDEN|RENVOYER|REENVIAR|INVIA DI NUOVO
PRACTICE AGAIN|ERNEUT ÜBEN|S’ENTRAÎNER ENCORE|PRACTICAR OTRA VEZ|ALLENATI ANCORA
KEEP PLAYING|WEITERSPIELEN|CONTINUER|SEGUIR JUGANDO|CONTINUA A GIOCARE
LEAVE CHALLENGE|AUFGABE VERLASSEN|QUITTER LE DÉFI|SALIR DEL DESAFÍO|LASCIA LA SFIDA
RANKED|RANGLISTE|CLASSÉ|CLASIFICATORIA|CLASSIFICA
CHALLENGE COMPLETE|AUFGABE GESCHAFFT|DÉFI TERMINÉ|DESAFÍO COMPLETADO|SFIDA COMPLETATA
POINTS|PUNKTE|POINTS|PUNTOS|PUNTI
Nickname (3–20 characters)|Spielername (3–20 Zeichen)|Pseudo (3 à 20 caractères)|Apodo (3–20 caracteres)|Soprannome (3–20 caratteri)
Adjacent|Benachbart|Adjacentes|Adyacentes|Adiacenti
Any letters|Beliebig|Libres|Cualquiera|Qualsiasi
Score: |Punkte: |Score : |Puntos: |Punti: 
Loading results…|Ergebnisse werden geladen…|Chargement des scores…|Cargando resultados…|Caricamento risultati…
Could not load online results.|Online-Ergebnisse nicht verfügbar.|Scores en ligne indisponibles.|Resultados en línea no disponibles.|Risultati online non disponibili.
Practice is available.|Übung ist verfügbar.|L’entraînement est disponible.|La práctica está disponible.|L’allenamento è disponibile.
Refresh to retry.|Zum Wiederholen aktualisieren.|Actualisez pour réessayer.|Actualiza para reintentar.|Aggiorna per riprovare.
No verified results yet.|Noch keine bestätigten Ergebnisse.|Aucun score vérifié pour l’instant.|Aún no hay resultados verificados.|Nessun risultato verificato.
Leave? The challenge timer keeps running.|Verlassen? Die Zeit läuft weiter.|Quitter ? Le chrono continue.|¿Salir? El tiempo sigue corriendo.|Uscire? Il tempo continua a scorrere.
Preparing your word arsenal...|Dein Wortarsenal wird vorbereitet...|Préparation de votre arsenal de mots...|Preparando tu arsenal de palabras...|Preparazione dell’arsenale di parole...
THE ASH FORGE|DIE ASCHESCHMIEDE|LA FORGE DES CENDRES|LA FORJA DE CENIZA|LA FORGIA DELLA CENERE
THE EMERALD GARDENS|DIE SMARAGDGÄRTEN|LES JARDINS D’ÉMERAUDE|LOS JARDINES ESMERALDA|I GIARDINI DI SMERALDO
THE MOON CITADEL|DIE MONDZITADELLE|LA CITADELLE LUNAIRE|LA CIUDADELA LUNAR|LA CITTADELLA LUNARE
Cinder Musketeer|Glutmusketier|Mousquetaire des braises|Mosquetero de brasas|Moschettiere della brace
Furnace Alchemist|Ofenalchemist|Alchimiste du fourneau|Alquimista del horno|Alchimista della fornace
Obsidian Defender|Obsidianverteidiger|Défenseur d’obsidienne|Defensor de obsidiana|Difensore d’ossidiana
THE FORGE TYRANT|DER SCHMIEDETYRANN|LE TYRAN DE LA FORGE|EL TIRANO DE LA FORJA|IL TIRANNO DELLA FORGIA
Verdant Lancer|Grüner Lanzenreiter|Lancier verdoyant|Lancero verde|Lanciere verde
Orchid Keeper|Orchideenhüter|Gardien des orchidées|Guardián de orquídeas|Custode delle orchidee
Jade Stag|Jadehirsch|Cerf de jade|Ciervo de jade|Cervo di giada
THE ANCIENT ROOT|DIE ALTE WURZEL|LA RACINE ANCIENNE|LA RAÍZ ANCESTRAL|LA RADICE ANTICA
Silver Duelist|Silberduellant|Duelliste d’argent|Duelista de plata|Duellante d’argento
Lunar Seer|Mondseher|Voyant lunaire|Vidente lunar|Veggente lunare
Pearl Juggernaut|Perlenkoloss|Colosse nacré|Coloso de perla|Colosso di perla
THE ECLIPSE MONARCH|DER FINSTERNISKÖNIG|LE MONARQUE DE L’ÉCLIPSE|EL MONARCA DEL ECLIPSE|IL SOVRANO DELL’ECLISSI
SUNWARD RUINS|SONNENRUINEN|RUINES DU SOLEIL|RUINAS DEL SOL|ROVINE DEL SOLE
THE SKY BRIDGES|DIE HIMMELSBRÜCKEN|LES PONTS CÉLESTES|LOS PUENTES CELESTES|I PONTI CELESTI
THE OBSERVATORY|DIE STERNWARTE|L’OBSERVATOIRE|EL OBSERVATORIO|L’OSSERVATORIO
Training Sentinel|Übungswächter|Sentinelle d’entraînement|Centinela de entrenamiento|Sentinella d’addestramento
Copper Scout|Kupferspäher|Éclaireur de cuivre|Explorador de cobre|Esploratore di rame
Gatekeeper|Torhüter|Gardien du portail|Guardián de la puerta|Custode del portale
BRONZE WARDEN|BRONZEWÄCHTER|GARDIEN DE BRONZE|GUARDIÁN DE BRONCE|CUSTODE DI BRONZO
Sky Watcher|Himmelswächter|Veilleur du ciel|Vigía del cielo|Osservatore del cielo
Storm Sentinel|Sturmwächter|Sentinelle des tempêtes|Centinela de tormentas|Sentinella della tempesta
Bridge Guardian|Brückenhüter|Gardien du pont|Guardián del puente|Guardiano del ponte
TEMPEST WARDEN|UNWETTERWÄCHTER|GARDIEN DES TEMPÊTES|GUARDIÁN DE LA TEMPESTAD|CUSTODE DELLA TEMPESTA
Astral Sentinel|Astralwächter|Sentinelle astrale|Centinela astral|Sentinella astrale
